order_id,customer_id,order_date,product_id,product_name,product_price,quantity
1,CUST013,31/01/2023,WXY789,Oceanic Opulence Body Butter,227.29,7
2,CUST070,21/12/2023,ABC901,Jasmine Joy Bubble Bath,123.76,8
3,CUST071,27/06/2023,NOP890,Citrus Splash Perfume,299.52,9
4,CUST028,05/09/2023,ZAB012,Maple Syrup Lip Balm,92.43,10
5,CUST039,05/01/2023,IJK901,Cinnamon Swirl Body Oil,268.24,8
6,CUST002,22/08/2023,VWX012,Blueberry Blast Face Wash,468.76,10
7,CUST016,18/11/2023,FGH890,Lemonade Lip Liner,389.2,6
8,CUST004,20/05/2023,OPQ567,Cucumber Coolness Face Mask,475.02,4
9,CUST045,26/03/2023,HIJ456,Rose Petal Face Mask,284.35,5
10,CUST078,19/10/2023,CDE345,Cherry Blossom Shampoo,113.02,4
11,CUST025,09/02/2023,OPQ789,Tropical Paradise Body Lotion,233.19,4
12,CUST033,19/08/2023,VWX012,Ruby Red Lip Liner,89.56,8
13,CUST013,17/05/2023,MNO345,Grapefruit Glow Body Wash,251.08,2
14,CUST066,17/06/2023,JKL890,Sunset Serenade Lipstick,369.36,9
15,CUST009,20/12/2023,QRS123,Coral Crush Nail File,283.0,2
16,CUST061,08/10/2023,PQR678,Citrus Splash Perfume,149.6,4
17,CUST049,23/01/2023,ABC901,Ocean Breeze Body Wash,394.52,7
18,CUST097,29/12/2023,STU901,Blueberry Blast Face Wash,298.77,9
19,CUST082,30/04/2023,FGH890,Sapphire Skies Eyeliner,71.65,5
20,CUST044,08/10/2023,HIJ456,Cocoa Butter Body Butter,423.03,3
21,CUST051,22/04/2023,OPQ567,Ocean Breeze Body Wash,222.71,5
22,CUST095,09/04/2023,EFG901,Peony Passion Makeup Remover,198.12,7
23,CUST013,05/04/2023,YZA345,Lilac Love Hand Soap,244.72,3
24,CUST064,01/10/2023,IJK901,Plum Perfect Nail Polish Remover,398.22,8
25,CUST077,18/05/2023,DEF234,Pumpkin Spice Body Scrub,306.09,2
26,CUST006,25/11/2023,ZAB234,Cocoa Butter Body Butter,246.41,7
27,CUST001,18/04/2023,QRS123,Champagne Sparkle Body Powder,216.06,3
